Customers per day

Start of working day is at 08:00 

All of the following timings are in the 24 hour format except the waiting time in minutes

-----------------------------------------------------------------------------------------
ID  |Arrival   |waiting |Leaving   |Service
1   | 8  : 5   | 0      | 8  : 6   | Served
2   | 8  : 12  | 0      | 8  : 13  | Not served
3   | 8  : 12  | 0      | 8  : 13  | Served
4   | 8  : 12  | 1      | 8  : 14  | Not served
5   | 8  : 19  | 0      | 8  : 20  | Served
6   | 8  : 23  | 0      | 8  : 24  | Served
7   | 8  : 28  | 0      | 8  : 29  | Not served
8   | 8  : 37  | 0      | 8  : 38  | Not served
9   | 8  : 43  | 0      | 8  : 44  | Served
10  | 8  : 43  | 0      | 8  : 44  | Served
11  | 8  : 45  | 0      | 8  : 46  | Served
12  | 8  : 45  | 0      | 8  : 46  | Not served
13  | 8  : 47  | 0      | 8  : 48  | Not served
14  | 9  : 2   | 0      | 9  : 3   | Served
15  | 9  : 3   | 0      | 9  : 4   | Served
16  | 9  : 15  | 0      | 9  : 16  | Served
17  | 9  : 17  | 0      | 9  : 18  | Served
18  | 9  : 22  | 0      | 9  : 23  | Not served
19  | 9  : 25  | 0      | 9  : 26  | Served
20  | 9  : 31  | 0      | 9  : 32  | Not served
21  | 9  : 50  | 0      | 9  : 51  | Served
22  | 9  : 51  | 0      | 9  : 52  | Served
23  | 9  : 52  | 0      | 9  : 53  | Served
24  | 9  : 53  | 0      | 9  : 54  | Served
25  | 10 : 2   | 0      | 10 : 3   | Not served
26  | 10 : 3   | 0      | 10 : 4   | Not served
27  | 10 : 9   | 0      | 10 : 10  | Not served
28  | 10 : 15  | 0      | 10 : 16  | Not served
29  | 10 : 15  | 0      | 10 : 16  | Served
30  | 10 : 27  | 0      | 10 : 28  | Served
31  | 10 : 28  | 0      | 10 : 29  | Not served
32  | 10 : 29  | 0      | 10 : 30  | Served
33  | 10 : 33  | 0      | 10 : 34  | Served
34  | 10 : 34  | 0      | 10 : 35  | Not served
35  | 10 : 37  | 0      | 10 : 38  | Not served
36  | 10 : 48  | 0      | 10 : 49  | Not served
37  | 10 : 50  | 0      | 10 : 51  | Not served
38  | 10 : 55  | 0      | 10 : 56  | Not served
39  | 10 : 58  | 0      | 10 : 59  | Served
40  | 10 : 58  | 0      | 10 : 59  | Served
41  | 10 : 59  | 0      | 11 : 0   | Not served
42  | 11 : 9   | 0      | 11 : 10  | Served
43  | 11 : 12  | 0      | 11 : 13  | Not served
44  | 11 : 12  | 0      | 11 : 13  | Not served
45  | 11 : 17  | 0      | 11 : 18  | Not served
46  | 11 : 24  | 0      | 11 : 25  | Served
47  | 11 : 27  | 0      | 11 : 28  | Served
48  | 11 : 27  | 0      | 11 : 28  | Served
49  | 11 : 34  | 0      | 11 : 35  | Not served
50  | 11 : 38  | 0      | 11 : 39  | Not served
51  | 11 : 41  | 0      | 11 : 42  | Served
52  | 11 : 41  | 0      | 11 : 42  | Not served
53  | 11 : 41  | 1      | 11 : 43  | Served
54  | 11 : 42  | 0      | 11 : 43  | Served
55  | 11 : 43  | 0      | 11 : 44  | Not served
56  | 11 : 44  | 0      | 11 : 45  | Served
57  | 11 : 49  | 0      | 11 : 50  | Served
58  | 11 : 50  | 0      | 11 : 51  | Served
59  | 11 : 51  | 0      | 11 : 52  | Served
60  | 11 : 54  | 0      | 11 : 55  | Served
61  | 11 : 55  | 0      | 11 : 56  | Served
62  | 12 : 0   | 0      | 12 : 1   | Not served
63  | 12 : 2   | 0      | 12 : 3   | Not served
64  | 12 : 2   | 0      | 12 : 3   | Not served
65  | 12 : 8   | 0      | 12 : 9   | Not served
